xtehr,zib,name_zib,path_zib,alias_zib,type_zib,card._zib,stereotype_zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSCondition.onsetDate,Problem.ProblemStartDate,ProblemStartDate,Problem.ProblemStartDate,NL: ProbleemBeginDatum,TS,0..1,data,NL-CM:5.1.6,"Onset of the symptom, complaint, functional limitation, complication or date of diagnosis. A ‘vague’ date, such as only the year or the month and the year, is permitted.",,EHDSCondition.onsetDate,EHDSCondition.onsetDate,C.15.4 - Onset date,Onset date of a problem/condition,dateTime,0..1,
EHDSCondition.participant,,,,,,,,,,,EHDSCondition.participant,EHDSCondition.participant,C.15.13 - Participant,Who or what participated in the activities related to the condition and how they were involved.,Base,0..*,
EHDSCondition.participant.actor,,,,,,,,,,,EHDSCondition.participant.actor,EHDSCondition.participant.actor,C.15.13.2 - Actor,"Identify the Health Professional who may be specifically related to the condition, e.g., as a preferred contact.",Reference,1..1,
EHDSCondition.participant.function,,,,,,,,,,,EHDSCondition.participant.function,EHDSCondition.participant.function,C.15.13.1 - Function,Type of participant involvement.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'To be specified'}"
EHDSCondition.patient,,,,,,,,,,,EHDSCondition.patient,EHDSCondition.patient,C.15.12 - Subject,Indicates the patient or group who the condition record is associated with.,Reference,1..1,
EHDSCondition.resolutionCircumstances,,,,,,,,,,,EHDSCondition.resolutionCircumstances,EHDSCondition.resolutionCircumstances,C.15.8 - Resolution circumstances,"Describes the reason for which the status of the problem changed from current to inactive (e.g. surgical procedure, medical treatment, etc.). This field includes ""free text"" if the resolution circumstances are not already included in other fields such as surgical procedure, medical device, etc., e.g. hepatic cystectomy (this will be the resolution circumstances for the problem ""hepatic cyst"" and will be included in surgical procedures).",CodeableReference,0..*,
EHDSCondition.severity,,,,,,,,,,,EHDSCondition.severity,EHDSCondition.severity,C.15.9 - Severity,A subjective assessment of the severity of the condition as evaluated by the clinician.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'HL7 Condtion-severity'}"
EHDSCondition.stage,,,,,,,,,,,EHDSCondition.stage,EHDSCondition.stage,C.15.11 - Stage,Stage/grade usually assessed formally using a specific staging/grading system. Multiple assessment systems could be used.,CodeableConcept,0..*,"{'strength': 'preferred', 'description': 'e.g. TNM, ICD-O-3, Bi-Rads, Li-Rads, …'}"
,Problem.Comment,Comment,Problem.Comment,NL: Toelichting,ST,0..1,data,NL-CM:5.1.5,Comment by the one who determined or updated the Problem.,LOINC: 48767-8 Annotation comment [Interpretation] Narrative,,,,,,,
,Problem.FurtherSpecificationProblemName,FurtherSpecificationProblemName,Problem.FurtherSpecificationProblemName,NL: NadereSpecificatieProbleemNaam,ST,0..1,data,NL-CM:5.1.13,Further specification of problem name when it is recorded via a thesaurus or code system in which the required level of detail is not (yet) available.,,,,,,,,
