xtehr,zib,name_zib,path_zib,type_zib,card._zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSProcedure.location,Procedure.Location::HealthcareProvider,Location::HealthcareProvider,Procedure.Location::HealthcareProvider,,0..1,NL-CM:14.1.5,"The healthcare provider where the procedure was, is or will be carried out.",,EHDSProcedure.location,EHDSProcedure.location,C.16.12 - Location,Location where the procedure had been performed,EHDSLocation,0..*,
EHDSProcedure.note,,,,,,,,,EHDSProcedure.note,EHDSProcedure.note,C.16.13 - Note,Additional information about the procedure,string,0..1,
EHDSProcedure.outcome,,,,,,,,,EHDSProcedure.outcome,EHDSProcedure.outcome,C.16.8 - Outcome,The outcome of the procedure - did it resolve the reasons for the procedure being performed?,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'SNOMED CT'}"
EHDSProcedure.performer,Procedure.Performer::HealthProfessional,Performer::HealthProfessional,Procedure.Performer::HealthProfessional,,0..*,NL-CM:14.1.6,"The healthcare professional who carried out or will carry out the procedure. In most cases, only the medical specialty is entered, and not the name of the healthcare professional.",,EHDSProcedure.performer,EHDSProcedure.performer,C.16.5 - Performer,An actor who or what performed the procedure,Reference,0..*,
EHDSProcedure.reason,Procedure.Indication,Indication,Procedure.Indication,,0..*,NL-CM:14.1.14,Container of the Indication concept.This container contains all data elements of the Indication concept.,,EHDSProcedure.reason,EHDSProcedure.reason,C.16.7 - Reason,The reason why the procedure was performed.,Reference,0..*,
EHDSProcedure.reason,Procedure.Indication.Diagnosis,Diagnosis,Procedure.Indication.Diagnosis,,(0..1),NL-CM:14.1.15,A diagnosis that serves as an indication for the procedure.,,EHDSProcedure.reason,EHDSProcedure.reason,C.16.7 - Reason,The reason why the procedure was performed.,Reference,0..*,
EHDSProcedure.reason,Procedure.Indication.Reaction,Reaction,Procedure.Indication.Reaction,,(0..1),NL-CM:14.1.16,An undesired reaction to a substance or radiation that served as an indication for the procedure.,,EHDSProcedure.reason,EHDSProcedure.reason,C.16.7 - Reason,The reason why the procedure was performed.,Reference,0..*,
EHDSProcedure.reason,Procedure.Indication.Symptom,Symptom,Procedure.Indication.Symptom,,(0..1),NL-CM:14.1.17,A symptom that serves as an indication for the procedure.,,EHDSProcedure.reason,EHDSProcedure.reason,C.16.7 - Reason,The reason why the procedure was performed.,Reference,0..*,
EHDSProcedure.reason,Procedure.Indication::Problem,,,,,,,,EHDSProcedure.reason,EHDSProcedure.reason,C.16.7 - Reason,The reason why the procedure was performed.,Reference,0..*,
EHDSProcedure.subject,,,,,,,,,EHDSProcedure.subject,EHDSProcedure.subject,C.16.14 - Patient,"On whom or on what the procedure was performed. This is usually an individual human, but can also be performed on animals, groups of humans or animals, organizations or practitioners (for licensing), locations or devices (for safety inspections or regulatory authorizations). If the actual focus of the procedure is different from the subject, the focus element specifies the actual focus of the procedure.",Reference,1..1,
,,MedicalDevice,Procedure.MedicalDevice.MedicalDevice,,0..*,NL-CM:14.1.7,"The product, the placing of which in or on the body is the purpose of the procedure, for example placing an implant.",405815000 Procedure device,,,,,,,
,Procedure.ProcedureMethod,,,,,,,,,,,,,,
,,ProcedureMethod,Procedure.ProcedureMethod.ProcedureMethod,CD,0..*,NL-CM:14.1.12,"The method or technique that is going to be or was used to perform the procedure, e.g. approach, lavage, pressuring, etc.",260686004 Method,,,,,,,
,,ProcedureType,Procedure.ProcedureType.ProcedureType,CD,1,NL-CM:14.1.4,"The name of the procedure.Choices are the DHD procedure thesaurus,  the procedures file (CBV), the Care activities file (NZa), the Dutch Mental Health and Addiction Care procedures list (GGZ) and the procedures list of the Dutch College of General Practitioners (NHG).",,,,,,,,
,Procedure.Requester::HealthProfessional,,,,,,,,,,,,,,
