xtehr,zib,name_zib,path_zib,type_zib,card._zib,id_zib,definition_zib,definitioncode_zib,id_xtehr,path_xtehr,short_xtehr,definition_xtehr,type_xtehr,card._xtehr,binding_xtehr
EHDSDeviceUse.note,MedicalDevice.Comment,Comment,MedicalDevice.Comment,ST,0..1,NL-CM:10.1.10,Comment about use or information on the medical device used.,48767-8 Annotation comment [Interpretation] Narrative,EHDSDeviceUse.note,EHDSDeviceUse.note,C.25.8 - Note,"Details about the device statement that were not represented at all or sufficiently in one of the attributes provided in a class. These may include for example a comment, an instruction, or a note associated with the statement.",Narrative,0..*,
EHDSDeviceUse.recorded,,,,,,,,,EHDSDeviceUse.recorded,EHDSDeviceUse.recorded,C.25.9 - Recorded,Date and time at which the statement was made/recorded.,dateTime,0..1,
EHDSDeviceUse.source,,,,,,,,,EHDSDeviceUse.source,EHDSDeviceUse.source,C.25.10 - Source,Who reported the device was being used by the patient.,Reference,0..1,
EHDSDeviceUse.status,,,,,,,,,EHDSDeviceUse.status,EHDSDeviceUse.status,C.25.2 - Status,Current status of the Device Usage.,CodeableConcept,0..1,"{'strength': 'preferred', 'description': 'HL7 device-statement-status'}"
EHDSDeviceUse.subject,,,,,,,,,EHDSDeviceUse.subject,EHDSDeviceUse.subject,C.25.6 - Subject,The patient using the device.,Reference,1..1,
,MedicalDevice.HealthProfessional,HealthProfessional,MedicalDevice.HealthProfessional,,0..1,NL-CM:10.1.9,The health professional involved in the indication for use of the medical device implant.,,,,,,,,
,MedicalDevice.Indication::Diagnosis,Indication::Diagnosis,MedicalDevice.Indication::Diagnosis,,0..*,NL-CM:10.1.17,The diagnosis as indication for the medical device.,,,,,,,,
,MedicalDevice.Indication::Problem,,,,,,,,,,,,,,
,MedicalDevice.Location::HealthcareProvider,Location::HealthcareProvider,MedicalDevice.Location::HealthcareProvider,,0..1,NL-CM:10.1.8,The healthcare provider where use of the medical device was initiated or where the aid was implanted.,,,,,,,,
,MedicalDevice.ProductDescription,ProductDescription,MedicalDevice.ProductDescription,ST,0..1,NL-CM:10.1.13,Textual description of the product.,,,,,,,,
